p,K,K_label,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,cell_time_s
0.01,3.2,interior,0,30001,-5.59679877549468,-23.318119696780542,75.99806996330236,,,2000,False,True,False,1207.0880243778229
0.01,3.2,interior,1,30001,-5.561673984330975,-23.318119696780542,76.14870299727102,,,2000,False,True,False,1207.0880243778229
0.01,3.2,interior,2,30001,-6.231803107634695,-23.318119696780542,73.27484724896107,0.527279012278152,0.5887586011085624,2000,False,True,False,1207.0880243778229
0.01,3.2,interior,3,30001,-6.117012921911082,-23.318119696780542,73.76712616002379,,,2000,False,True,False,1207.0880243778229
0.01,0.0,K=0,0,30000,-50.96139393111211,-68.57642465813775,25.686714953191014,0.521778899680061,0.5266763750935808,2000,False,True,False,1217.6987404823303
0.01,0.0,K=0,1,30000,-49.8441036735596,-68.57642465813775,27.315977871347428,,,2000,False,True,False,1217.6987404823303
0.01,0.0,K=0,2,30000,-50.083536116532436,-68.57642465813775,26.96683099737954,,,2000,False,True,False,1217.6987404823303
0.01,0.0,K=0,3,30000,-50.52512469201134,-68.57642465813775,26.322894575088235,,,2000,False,True,False,1217.6987404823303
0.01,6.4,boundary,0,30002,18.965001243150798,2.0,848.2500621575399,,,2000,False,True,False,1225.6234805583954
0.01,6.4,boundary,1,30002,17.538987188183857,2.0,776.9493594091929,,,2000,False,True,False,1225.6234805583954
0.01,6.4,boundary,2,30002,17.383818849957514,2.0,769.1909424978757,,,2000,False,True,False,1225.6234805583954
0.01,6.4,boundary,3,30002,16.70004588037127,2.0,735.0022940185635,0.5654685466975943,0.5751635933340509,2000,False,True,False,1225.6234805583954
0.02,6.4,boundary,0,30102,31.059002368268708,2.0,1452.9501184134353,,,2000,False,True,False,1231.449236869812
0.02,6.4,boundary,1,30102,27.989364876325535,2.0,1299.4682438162768,0.3443586719961421,0.9202495022745433,2000,False,True,False,1231.449236869812
0.02,6.4,boundary,2,30102,29.746343608359435,2.0,1387.3171804179717,,,2000,False,True,False,1231.449236869812
0.02,6.4,boundary,3,30102,30.679349758024042,2.0,1433.967487901202,,,2000,False,True,False,1231.449236869812
0.02,0.0,K=0,0,30100,-38.66937126978511,-68.57642465813775,43.6112753580303,,,2000,False,True,False,1235.3770604133606
0.02,0.0,K=0,1,30100,-38.69066194536119,-68.57642465813775,43.580228718194206,,,2000,False,True,False,1235.3770604133606
0.02,0.0,K=0,2,30100,-38.93346717426594,-68.57642465813775,43.22616355642007,0.2858980492968246,0.9342913585029242,2000,False,True,False,1235.3770604133606
0.02,0.0,K=0,3,30100,-37.818106979949675,-68.57642465813775,44.852612004084826,,,2000,False,True,False,1235.3770604133606
0.02,3.2,interior,0,30101,1.946487065683638,-23.318119696780542,108.34753012247545,0.30717980925473487,1.0284362117806038,2000,False,True,False,1257.6018793582916
0.02,3.2,interior,1,30101,2.205087291781172,-23.318119696780542,109.4565398945337,,,2000,False,True,False,1257.6018793582916
0.02,3.2,interior,2,30101,3.3811545450963374,-23.318119696780542,114.50011660058148,,,2000,False,True,False,1257.6018793582916
0.02,3.2,interior,3,30101,4.234865369655538,-23.318119696780542,118.16126439320162,,,2000,False,True,False,1257.6018793582916
