p,K,K_label,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,cell_time_s
0.0,0.0,K=0,0,50000,-67.42641597574473,-68.57642465813775,1.676973811518991,,,2000,False,True,False,690.3098888397217
0.0,0.0,K=0,1,50000,-67.38874544320909,-68.57642465813775,1.7319060024627957,,,2000,False,True,False,690.3098888397217
0.0,0.0,K=0,2,50000,-68.33635459089186,-68.57642465813775,0.35007667495451283,,,2000,False,True,False,690.3098888397217
0.0,0.0,K=0,3,50000,-68.55854091357857,-68.57642465813775,0.026078560742030577,0.9995580524586913,-2.091043644119568e-17,2000,False,True,False,690.3098888397217
0.0,6.4,boundary,0,50002,2.056822971809015,2.000000000000199,2.841148590440518,0.9646501252668409,1.1870141269617832e-16,2000,False,True,False,692.6580862998962
0.0,6.4,boundary,1,50002,2.0604727857295013,2.000000000000199,3.023639286464818,,,2000,False,True,False,692.6580862998962
0.0,6.4,boundary,2,50002,2.07013434864516,2.000000000000199,3.506717432247714,,,2000,False,True,False,692.6580862998962
0.0,6.4,boundary,3,50002,2.0664317558805276,2.000000000000199,3.3215877940161036,,,2000,False,True,False,692.6580862998962
0.0,3.2,half-boundary,0,50001,-23.106377142354784,-23.3181196967806,0.9080601574193343,,,2000,False,True,False,692.8142585754395
0.0,3.2,half-boundary,1,50001,-23.153548426767454,-23.3181196967806,0.7057656112635282,,,2000,False,True,False,692.8142585754395
0.0,3.2,half-boundary,2,50001,-23.1684211082098,-23.3181196967806,0.6419839614746811,0.9869509169356627,8.986589044480673e-17,2000,False,True,False,692.8142585754395
0.0,3.2,half-boundary,3,50001,-23.14115685271626,-23.3181196967806,0.7589070060772108,,,2000,False,True,False,692.8142585754395
0.0,1.25,noisy-matched-1.25,0,50003,-48.492496335311394,-48.57642465813774,0.17277583399149032,0.9969368222698476,1.4739553428807934e-16,2000,False,True,False,520.7430438995361
0.0,1.25,noisy-matched-1.25,1,50003,-48.48989739078437,-48.57642465813774,0.17812605180869912,,,2000,False,True,False,520.7430438995361
0.0,1.25,noisy-matched-1.25,2,50003,-48.48577347762164,-48.57642465813774,0.18661558802251443,,,2000,False,True,False,520.7430438995361
0.0,1.25,noisy-matched-1.25,3,50003,-48.352157702945114,-48.57642465813774,0.4616785956787277,,,2000,False,True,False,520.7430438995361
0.0,2.5,noisy-matched-2.5,0,50004,-28.06360316708162,-28.91811969678065,2.954951907866126,,,2000,False,True,False,526.1579492092133
0.0,2.5,noisy-matched-2.5,1,50004,-27.75275370630459,-28.91811969678065,4.029881619882075,,,2000,False,True,False,526.1579492092133
0.0,2.5,noisy-matched-2.5,2,50004,-27.14730089662855,-28.91811969678065,6.12356134741789,,,2000,False,True,False,526.1579492092133
0.0,2.5,noisy-matched-2.5,3,50004,-28.77013715616134,-28.91811969678065,0.5117294698651669,0.9438824780210078,-1.9947095329863368e-16,2000,False,True,False,526.1579492092133
