p,K,K_index,run_tag,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.0,7.0,12,dense8,0,90012,1.000003884452588,1.0000000000000149,0.0003884452573377,,,2000,False,True,False,False,367.0566308498383
0.0,7.0,12,dense8,1,90012,1.0018559496847836,1.0000000000000149,0.185594968476896,,,2000,False,True,False,False,367.0566308498383
0.0,7.0,12,dense8,2,90012,1.000000138047829,1.0000000000000149,1.3804781429094048e-05,0.9999999937300478,-6.331740676975607e-17,883,True,False,False,True,367.0566308498383
0.0,7.0,12,dense8,3,90012,1.0000002637240664,1.0000000000000149,2.637240517078216e-05,,,1058,True,False,False,False,367.0566308498383
0.0,7.0,12,dense8,4,90012,1.0006669001411534,1.0000000000000149,0.0666900141138783,,,2000,False,True,False,False,367.0566308498383
0.0,7.0,12,dense8,5,90012,1.0004968614554983,1.0000000000000149,0.049686145548388,,,2000,False,True,False,False,367.0566308498383
0.0,7.0,12,dense8,6,90012,1.0004762322577996,1.0000000000000149,0.0476232257784918,,,2000,False,True,False,False,367.0566308498383
0.0,7.0,12,dense8,7,90012,1.0001180728387589,1.0000000000000149,0.0118072838744208,,,2000,False,True,False,False,367.0566308498383
0.0,6.75,11,dense8,0,90011,1.0018609429174383,1.0000000000000249,0.1860942917413631,,,2000,False,True,False,False,379.5504558086395
0.0,6.75,11,dense8,1,90011,1.0006312858315112,1.0000000000000249,0.063128583148629,,,2000,False,True,False,False,379.5504558086395
0.0,6.75,11,dense8,2,90011,1.0000000805192328,1.0000000000000249,8.051920796780876e-06,0.9999999969716644,-4.4235448636923895e-16,1107,True,False,False,True,379.5504558086395
0.0,6.75,11,dense8,3,90011,1.0048407222011302,1.0000000000000249,0.4840722201105198,,,2000,False,True,False,False,379.5504558086395
0.0,6.75,11,dense8,4,90011,1.000000199675018,1.0000000000000249,1.9967499298445048e-05,,,1260,True,False,False,False,379.5504558086395
0.0,6.75,11,dense8,5,90011,1.0003439514045938,1.0000000000000249,0.0343951404568878,,,2000,False,True,False,False,379.5504558086395
0.0,6.75,11,dense8,6,90011,1.0036326326219482,1.0000000000000249,0.3632632621923281,,,2000,False,True,False,False,379.5504558086395
0.0,6.75,11,dense8,7,90011,1.000011156227738,1.0000000000000249,0.0011156227713193,,,2000,False,True,False,False,379.5504558086395
