p,K,K_index,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.01,4.25,1,0,40001,1.0712415443846006,-9.56603968487636,111.19838072675157,,,2000,False,True,False,False,460.3296232223511
0.01,4.25,1,1,40001,0.9623363084092902,-9.56603968487636,110.05992385679433,,,2000,False,True,False,False,460.3296232223511
0.01,4.25,1,2,40001,0.8639455430489946,-9.56603968487636,109.03138154878104,,,2000,False,True,False,False,460.3296232223511
0.01,4.25,1,3,40001,0.5333871919630453,-9.56603968487636,105.5758413045925,0.5469673167172285,0.17513624777212422,2000,False,True,False,True,460.3296232223511
0.01,4.25,1,4,40001,0.829348763207252,-9.56603968487636,108.66971903240616,,,2000,False,True,False,False,460.3296232223511
0.01,4.25,1,5,40001,0.9925076520269169,-9.56603968487636,110.37532442601136,,,2000,False,True,False,False,460.3296232223511
0.01,4.25,1,6,40001,1.8898179776094945,-9.56603968487636,119.7554896264673,,,2000,False,True,False,False,460.3296232223511
0.01,4.25,1,7,40001,2.5676741430280443,-9.56603968487636,126.84155855100063,,,2000,False,True,False,False,460.3296232223511
0.01,5.5,6,0,40006,4.380072273822183,0.43396031512367017,909.3255353485372,,,2000,False,True,False,False,460.6639974117279
0.01,5.5,6,1,40006,5.644938506268089,0.43396031512367017,1200.7960197142434,,,2000,False,True,False,False,460.6639974117279
0.01,5.5,6,2,40006,4.3629397908829315,0.43396031512367017,905.3775976357606,0.005490461340651496,0.1792225524624652,2000,False,True,False,True,460.6639974117279
0.01,5.5,6,3,40006,4.365426458205,0.43396031512367017,905.9506148530977,,,2000,False,True,False,False,460.6639974117279
0.01,5.5,6,4,40006,11.772484090710186,0.43396031512367017,2612.801996043177,,,2000,False,True,False,False,460.6639974117279
0.01,5.5,6,5,40006,4.939111250164461,0.43396031512367017,1038.1481389045705,,,2000,False,True,False,False,460.6639974117279
0.01,5.5,6,6,40006,5.155498708015695,0.43396031512367017,1088.011559662196,,,2000,False,True,False,False,460.6639974117279
0.01,5.5,6,7,40006,4.372887304712479,0.43396031512367017,907.6698611176674,,,2000,False,True,False,False,460.6639974117279
0.01,4.5,2,0,40002,3.215506174149735,-7.566039684876367,142.499197837637,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,1,40002,2.518872296500454,-7.566039684876367,133.29181978169356,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,2,40002,2.753299270786956,-7.566039684876367,136.39023036438047,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,3,40002,2.4425731390385215,-7.566039684876367,132.2833773119237,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,4,40002,3.815534068188343,-7.566039684876367,150.4297390326296,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,5,40002,2.1463220127979943,-7.566039684876367,128.36783974432808,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,6,40002,4.195961206379756,-7.566039684876367,155.45782709502558,,,2000,False,True,False,False,461.7058460712433
0.01,4.5,2,7,40002,2.141726779108803,-7.566039684876367,128.3071047511139,0.4854318562611979,0.1740754493600138,2000,False,True,False,True,461.7058460712433
0.01,4.0,0,0,40000,-0.5188566669194825,-11.566039684876385,95.5139643209254,,,2000,False,True,False,False,462.0767524242401
0.01,4.0,0,1,40000,-0.6996493091651206,-11.566039684876385,93.95083080961606,,,2000,False,True,False,False,462.0767524242401
0.01,4.0,0,2,40000,-0.7065898876440344,-11.566039684876385,93.89082255555493,,,2000,False,True,False,False,462.0767524242401
0.01,4.0,0,3,40000,-0.38862361592282785,-11.566039684876385,96.63995951500159,,,2000,False,True,False,False,462.0767524242401
0.01,4.0,0,4,40000,-0.6637573592922497,-11.566039684876385,94.26115267302627,,,2000,False,True,False,False,462.0767524242401
0.01,4.0,0,5,40000,-0.47472474311575247,-11.566039684876385,95.89552901382055,,,2000,False,True,False,False,462.0767524242401
0.01,4.0,0,6,40000,-1.1283444536639267,-11.566039684876385,90.24433181619344,0.5776909777182563,0.17518447901108186,2000,False,True,False,True,462.0767524242401
0.01,4.0,0,7,40000,0.15795766256545318,-11.566039684876385,101.3657022357618,,,2000,False,True,False,False,462.0767524242401
0.01,5.0,4,0,40004,4.032406041066445,-3.5660396848763805,213.07799120037646,,,2000,False,True,False,False,462.2505226135254
0.01,5.0,4,1,40004,4.412514718103029,-3.5660396848763805,223.73711758779802,,,2000,False,True,False,False,462.2505226135254
0.01,5.0,4,2,40004,4.031650979890193,-3.5660396848763805,213.05681753875248,,,2000,False,True,False,False,462.2505226135254
0.01,5.0,4,3,40004,4.028009507412768,-3.5660396848763805,212.95470222879482,0.004987507634504453,0.17947226496229537,2000,False,True,False,True,462.2505226135254
0.01,5.0,4,4,40004,4.035887220086731,-3.5660396848763805,213.17561151108274,,,2000,False,True,False,False,462.2505226135254
0.01,5.0,4,5,40004,4.560715657067551,-3.5660396848763805,227.89301466300566,,,2000,False,True,False,False,462.2505226135254
0.01,5.0,4,6,40004,4.0418108517345575,-3.5660396848763805,213.34172384216384,,,2000,False,True,False,False,462.2505226135254
0.01,5.0,4,7,40004,7.75933163649861,-3.5660396848763805,317.5896042157364,,,2000,False,True,False,False,462.2505226135254
0.01,4.75,3,0,40003,4.018007577297299,-5.566039684876356,172.18790746704056,,,2000,False,True,False,False,462.79613304138184
0.01,4.75,3,1,40003,5.6915300091404735,-5.566039684876356,202.2545711379869,,,2000,False,True,False,False,462.79613304138184
0.01,4.75,3,2,40003,3.862395029854743,-5.566039684876356,169.39215759365436,,,2000,False,True,False,False,462.79613304138184
0.01,4.75,3,3,40003,6.069897413886724,-5.566039684876356,209.0523560293581,,,2000,False,True,False,False,462.79613304138184
0.01,4.75,3,4,40003,3.5395557186997175,-5.566039684876356,163.591995729336,0.3051819055302484,0.17790911469152382,2000,False,True,False,True,462.79613304138184
0.01,4.75,3,5,40003,3.6625168016632315,-5.566039684876356,165.80112627681686,,,2000,False,True,False,False,462.79613304138184
0.01,4.75,3,6,40003,3.8727191315586236,-5.566039684876356,169.57764138982515,,,2000,False,True,False,False,462.79613304138184
0.01,4.75,3,7,40003,3.8349003728858406,-5.566039684876356,168.89818596345543,,,2000,False,True,False,False,462.79613304138184
0.01,6.0,8,0,40008,4.694225400906534,0.9999999999999979,369.4225400906544,,,2000,False,True,False,False,471.51230549812317
0.01,6.0,8,1,40008,5.301477088928755,0.9999999999999979,430.1477088928766,,,2000,False,True,False,False,471.51230549812317
0.01,6.0,8,2,40008,4.712441593165959,0.9999999999999979,371.24415931659695,,,2000,False,True,False,False,471.51230549812317
0.01,6.0,8,3,40008,5.509134683764735,0.9999999999999979,450.91346837647467,,,2000,False,True,False,False,471.51230549812317
0.01,6.0,8,4,40008,5.5247322877109575,0.9999999999999979,452.4732287710969,,,2000,False,True,False,False,471.51230549812317
0.01,6.0,8,5,40008,4.68957009823526,0.9999999999999979,368.957009823527,0.8360164969140595,0.17925876670477878,2000,False,True,False,True,471.51230549812317
0.01,6.0,8,6,40008,4.690278730214873,0.9999999999999979,369.0278730214883,,,2000,False,True,False,False,471.51230549812317
0.01,6.0,8,7,40008,5.306660183407443,0.9999999999999979,430.6660183407454,,,2000,False,True,False,False,471.51230549812317
