p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.01,4.0,0,up,0,random,140000.0,-3.699618053834582,-11.566039684876383,68.01309562622235,0.7529845875116872,0.2515335698302215,4000,False,True,False,False,
0.01,4.0,0,up,1,random,140001.0,-3.935372689691057,-11.566039684876383,65.97476061891,0.7577092907297038,0.2439008712238941,4000,False,True,False,True,
0.01,4.0,0,up,2,random,140002.0,-3.685820353973727,-11.566039684876383,68.13239056413354,0.7597994032870321,0.2524213273636501,4000,False,True,False,False,
0.01,4.0,0,up,3,random,140003.0,-3.869198368172809,-11.566039684876383,66.54690392224639,0.7567574144455764,0.2655599375769718,4000,False,True,False,False,
0.01,4.0,0,up,4,random,140004.0,-3.549122342451801,-11.566039684876383,69.31428181858487,0.7551531505706501,0.2788113461701617,4000,False,True,False,False,
0.01,4.0,0,up,5,random,140005.0,-3.727150354633504,-11.566039684876383,67.77505130380038,0.7535425253364975,0.243873923871139,4000,False,True,False,False,
0.01,4.0,0,up,6,random,140006.0,1.2336548072542748,-11.566039684876383,110.66618169110544,0.5234424115985585,0.2760869959533313,4000,False,True,False,False,
0.01,4.0,0,up,7,random,140007.0,-3.124271086457701,-11.566039684876383,72.987546545055,0.7524736886361244,0.251456508211025,4000,False,True,False,False,
0.01,4.25,1,up,0,warm,,-1.9988218410263463,-9.56603968487636,79.10502248713824,0.7587569134392488,0.2434424971416851,4000,False,True,False,False,False
0.01,4.25,1,up,1,random,140100.0,-0.7176978020005517,-9.56603968487636,92.49744067928954,0.7472486475661695,0.2575972055877194,4000,False,True,False,False,False
0.01,4.25,1,up,2,random,140101.0,-1.711805367192536,-9.56603968487636,82.1053913261634,0.7585397605936586,0.2564924321290303,4000,False,True,False,False,False
0.01,4.25,1,up,3,random,140102.0,-2.476585500114842,-9.56603968487636,74.11064994816763,0.7612233472570802,0.2544502127885592,4000,False,True,False,True,False
0.01,4.5,2,up,0,warm,,-0.4967063136606033,-7.566039684876367,93.4350554008663,0.7622655963794249,0.253451458897347,4000,False,True,False,True,True
0.01,4.5,2,up,1,random,140200.0,1.2767264451203422,-7.566039684876367,116.87443495270544,0.7441709754992603,0.2633664471795152,4000,False,True,False,False,True
0.01,4.5,2,up,2,random,140201.0,0.9175380056694612,-7.566039684876367,112.1270577988576,0.7516259098453386,0.2558870991601589,4000,False,True,False,False,True
0.01,4.5,2,up,3,random,140202.0,1.041492042797354,-7.566039684876367,113.76535263063946,0.7515499628768395,0.2590544726738285,4000,False,True,False,False,True
0.01,4.75,3,up,0,warm,,1.5273783749165055,-5.566039684876356,127.44102560149884,0.7624794696787047,0.253120006806208,4000,False,True,False,True,True
0.01,4.75,3,up,1,random,140300.0,1.660503906368379,-5.566039684876356,129.83277160024892,0.7629624147411517,0.2521368498078602,4000,False,True,False,False,True
0.01,4.75,3,up,2,random,140301.0,5.331693638833834,-5.566039684876356,195.7897165792894,0.0066592124684695,0.2554438752985186,4000,False,True,False,False,True
0.01,4.75,3,up,3,random,140302.0,2.82205211769384,-5.566039684876356,150.7012575810718,0.7471729892781713,0.2596419751490084,4000,False,True,False,False,True
0.01,5.0,4,up,0,warm,,3.5559425907134754,-3.5660396848763805,199.71685412796367,0.7623566704451534,0.2530563530848432,4000,False,True,False,True,True
0.01,5.0,4,up,1,random,140400.0,5.892328832995061,-3.5660396848763805,265.2345277587488,0.0094141214440464,0.238820520859758,4000,False,True,False,False,True
0.01,5.0,4,up,2,random,140401.0,5.75473163381461,-3.5660396848763805,261.3759840705223,0.0067546846432633,0.2592037171037733,4000,False,True,False,False,True
0.01,5.0,4,up,3,random,140402.0,4.428699252193072,-3.5660396848763805,224.1909693539093,0.751241484063555,0.2672897294772829,4000,False,True,False,False,True
0.01,5.25,5,up,0,warm,,5.5838225827258166,-1.5660396848763014,456.5569018876347,0.7600503111365449,0.2534700430556231,4000,False,True,False,True,True
0.01,5.25,5,up,1,random,140500.0,6.412772356839377,-1.5660396848763014,509.4897733926781,0.0059814775469212,0.223505022645596,4000,False,True,False,False,True
0.01,5.25,5,up,2,random,140501.0,6.105896686877405,-1.5660396848763014,489.8941224698082,0.0084713404258674,0.2231510370413551,4000,False,True,False,False,True
0.01,5.25,5,up,3,random,140502.0,5.875874744791625,-1.5660396848763014,475.2059926409688,0.0071848781579639,0.2408561419408086,4000,False,True,False,False,True
0.01,5.5,6,up,0,warm,,6.37701732324852,0.4339603151236701,1369.4932004165394,0.006204081662698,0.2720110505063841,4000,False,True,False,False,False
0.01,5.5,6,up,1,random,140600.0,6.473998634224313,0.4339603151236701,1391.8411680983666,0.0086224291934354,0.239056116408599,4000,False,True,False,False,False
0.01,5.5,6,up,2,random,140601.0,6.211467670989399,0.4339603151236701,1331.344630953006,0.0069548797538776,0.2568141793785976,4000,False,True,False,False,False
0.01,5.5,6,up,3,random,140602.0,6.116678622153875,0.4339603151236701,1309.501838989757,0.0079855456819169,0.2565279933147039,4000,False,True,False,True,False
0.01,5.75,7,up,0,warm,,6.360489358519177,0.9999999999999852,536.0489358519272,0.7765192291990825,0.2564525360109263,4000,False,True,False,False,False
0.01,5.75,7,up,1,random,140700.0,6.671639196933906,0.9999999999999852,567.1639196934005,0.776505336188589,0.2720067069249836,4000,False,True,False,False,False
0.01,5.75,7,up,2,random,140701.0,6.904071789826528,0.9999999999999852,590.407178982663,0.7765228695490483,0.2544976757018324,4000,False,True,False,False,False
0.01,5.75,7,up,3,random,140702.0,5.965172981395211,0.9999999999999852,496.51729813953,0.7765820580488966,0.2732840283794743,4000,False,True,False,True,False
0.01,6.0,8,up,0,warm,,6.205162620593053,0.999999999999998,520.5162620593065,0.7765824935674082,0.2732822715112316,4000,False,True,False,True,True
0.01,6.0,8,up,1,random,140800.0,6.830521531286072,0.999999999999998,583.0521531286087,0.7765297242008841,0.2711295554394682,4000,False,True,False,False,True
0.01,6.0,8,up,2,random,140801.0,6.969482547719806,0.999999999999998,596.948254771982,0.7765021492581633,0.2720087364525467,4000,False,True,False,False,True
0.01,6.0,8,up,3,random,140802.0,7.2991343613653,0.999999999999998,629.9134361365315,0.7765226601137813,0.2392456127097214,4000,False,True,False,False,True
0.01,6.25,9,up,0,warm,,6.445485977809062,1.0000000000000062,544.5485977809022,0.776583140237378,0.2732781087799927,4000,False,True,False,False,False
0.01,6.25,9,up,1,random,140900.0,7.365742956656129,1.0000000000000062,636.5742956656084,0.7765165783692425,0.2393110763484028,4000,False,True,False,False,False
0.01,6.25,9,up,2,random,140901.0,6.8687367437016125,1.0000000000000062,586.873674370157,0.7765951883639559,0.2554080924626544,4000,False,True,False,False,False
0.01,6.25,9,up,3,random,140902.0,6.4304387178960365,1.0000000000000062,543.0438717895996,0.7766267432864669,0.2731013112255673,4000,False,True,False,True,False
0.01,6.5,10,up,0,warm,,6.670679963985913,1.0000000000000075,567.0679963985864,0.7766261442059378,0.2731119846561706,4000,False,True,False,True,True
0.01,6.5,10,up,1,random,141000.0,7.933176829455462,1.0000000000000075,693.3176829455402,0.7745912534592878,0.2518554598166607,4000,False,True,False,False,True
0.01,6.5,10,up,2,random,141001.0,7.390042625455512,1.0000000000000075,639.0042625455455,0.7766035485289766,0.255248557917566,4000,False,True,False,False,True
0.01,6.5,10,up,3,random,141002.0,7.420650389948435,1.0000000000000075,642.0650389948379,0.7764915908172731,0.271882184650512,4000,False,True,False,False,True
0.01,6.75,11,up,0,warm,,6.911102111263104,1.0000000000000249,591.1102111262932,0.7766258909193516,0.2731141968082926,4000,False,True,False,True,True
0.01,6.75,11,up,1,random,141100.0,7.323810131872907,1.0000000000000249,632.3810131872725,0.7765495598956083,0.2560948471323561,4000,False,True,False,False,True
0.01,6.75,11,up,2,random,141101.0,8.046884276922059,1.0000000000000249,704.6884276921859,0.7760381940742396,0.2405940555088584,4000,False,True,False,False,True
0.01,6.75,11,up,3,random,141102.0,7.372387245724871,1.0000000000000249,637.2387245724689,0.77657118634963,0.2404614064494609,4000,False,True,False,False,True
0.01,7.0,12,up,0,warm,,7.151538841595422,1.0000000000000149,615.1538841595317,0.7766256867210078,0.2731155986803225,4000,False,True,False,True,True
0.01,7.0,12,up,1,random,141200.0,7.922707574596393,1.0000000000000149,692.2707574596277,0.7765094019180115,0.2716431702937495,4000,False,True,False,False,True
0.01,7.0,12,up,2,random,141201.0,8.424226890226103,1.0000000000000149,742.4226890225981,0.7765421907019106,0.2545473534616326,4000,False,True,False,False,True
0.01,7.0,12,up,3,random,141202.0,8.43355253730592,1.0000000000000149,743.3552537305796,0.7765396961360734,0.2546031020529082,4000,False,True,False,False,True
0.01,7.0,12,down,0,random,160000,7.1555697705681744,1.0000000000000147,615.556977056807,0.776637534068253,0.2730507559837993,4000,False,True,False,True,
0.01,7.0,12,down,1,random,160001,8.449790775398627,1.0000000000000147,744.9790775398503,0.776540183781015,0.25455059603211044,4000,False,True,False,False,
0.01,7.0,12,down,2,random,160002,7.940245104948909,1.0000000000000147,694.0245104948792,0.7765714926384535,0.25612232818541864,4000,False,True,False,False,
0.01,7.0,12,down,3,random,160003,7.469974482686672,1.0000000000000147,646.9974482686563,0.7765877797006928,0.2734038351862721,4000,False,True,False,False,
0.01,7.0,12,down,4,random,160004,8.300548126840264,1.0000000000000147,730.0548126840143,0.7765146030397723,0.23900055974492207,4000,False,True,False,False,
0.01,7.0,12,down,5,random,160005,8.07583969603751,1.0000000000000147,707.5839696037392,0.7765231912992331,0.2719036023258527,4000,False,True,False,False,
0.01,7.0,12,down,6,random,160006,9.106571839951869,1.0000000000000147,810.6571839951736,0.7759552116654027,0.22338155635867452,4000,False,True,False,False,
0.01,7.0,12,down,7,random,160007,8.088569815175918,1.0000000000000147,708.8569815175799,0.7764490010139145,0.2237632354711792,4000,False,True,False,False,
0.01,6.75,11,down,0,warm,,6.913181099759486,1.0000000000000249,591.3181099759313,0.7766379039553933,0.2730637900538461,4000,False,True,False,True,True
0.01,6.75,11,down,1,random,160100,7.94784998652776,1.0000000000000249,694.7849986527561,0.7765330242571854,0.2391989061454951,4000,False,True,False,False,True
0.01,6.75,11,down,2,random,160101,7.392241773126679,1.0000000000000249,639.2241773126495,0.7766084728397128,0.2552435019032588,4000,False,True,False,False,True
0.01,6.75,11,down,3,random,160102,7.596922912250384,1.0000000000000249,659.6922912250195,0.7765704378455409,0.2561242012023116,4000,False,True,False,False,True
0.01,6.5,10,down,0,warm,,6.672351493917821,1.0000000000000075,567.2351493917771,0.7766384623490017,0.27306016027147173,4000,False,True,False,True,True
0.01,6.5,10,down,1,random,160200,7.472995999320214,1.0000000000000075,647.2995999320158,0.7765156865457129,0.2565248487606118,4000,False,True,False,False,True
0.01,6.5,10,down,2,random,160201,6.975074485176161,1.0000000000000075,597.5074485176108,0.7766122273617042,0.27324355141003004,4000,False,True,False,False,True
0.01,6.5,10,down,3,random,160202,7.511291316438237,1.0000000000000075,651.1291316438181,0.77650085936667,0.25571097928672937,4000,False,True,False,False,True
0.01,6.25,9,down,0,warm,,6.431472167254391,1.0000000000000062,543.1472167254351,0.7766391309733794,0.27305616387833503,4000,False,True,False,True,True
0.01,6.25,9,down,1,random,160300,7.3015292768101885,1.0000000000000062,630.1529276810143,0.7765343231167693,0.23867078071997838,4000,False,True,False,False,True
