p,K,K_index,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.01,4.0,0,0,random,140000,-3.699618053834582,-11.566039684876385,68.01309562622235,0.7529845875116872,0.25153356983022157,4000,False,True,False,False,
0.01,4.0,0,1,random,140001,-3.935372689691057,-11.566039684876385,65.97476061891,0.7577092907297038,0.24390087122389417,4000,False,True,False,True,
0.01,4.0,0,2,random,140002,-3.685820353973727,-11.566039684876385,68.13239056413354,0.7597994032870321,0.25242132736365014,4000,False,True,False,False,
0.01,4.0,0,3,random,140003,-3.869198368172809,-11.566039684876385,66.54690392224639,0.7567574144455764,0.2655599375769718,4000,False,True,False,False,
0.01,4.0,0,4,random,140004,-3.5491223424518012,-11.566039684876385,69.31428181858487,0.7551531505706501,0.2788113461701617,4000,False,True,False,False,
0.01,4.0,0,5,random,140005,-3.7271503546335034,-11.566039684876385,67.77505130380038,0.7535425253364975,0.243873923871139,4000,False,True,False,False,
0.01,4.0,0,6,random,140006,1.2336548072542748,-11.566039684876385,110.66618169110545,0.5234424115985585,0.2760869959533313,4000,False,True,False,False,
0.01,4.0,0,7,random,140007,-3.124271086457701,-11.566039684876385,72.987546545055,0.7524736886361244,0.25145650821102505,4000,False,True,False,False,
0.01,4.25,1,0,warm,,-1.9988218410263465,-9.56603968487636,79.10502248713824,0.7587569134392488,0.2434424971416851,4000,False,True,False,False,False
0.01,4.25,1,1,random,140100,-0.7176978020005517,-9.56603968487636,92.49744067928954,0.7472486475661695,0.2575972055877194,4000,False,True,False,False,False
0.01,4.25,1,2,random,140101,-1.711805367192536,-9.56603968487636,82.1053913261634,0.7585397605936586,0.25649243212903033,4000,False,True,False,False,False
0.01,4.25,1,3,random,140102,-2.476585500114842,-9.56603968487636,74.11064994816763,0.7612233472570802,0.2544502127885592,4000,False,True,False,True,False
0.01,4.5,2,0,warm,,-0.4967063136606033,-7.566039684876367,93.4350554008663,0.7622655963794249,0.25345145889734705,4000,False,True,False,True,True
0.01,4.5,2,1,random,140200,1.2767264451203422,-7.566039684876367,116.87443495270544,0.7441709754992603,0.2633664471795152,4000,False,True,False,False,True
0.01,4.5,2,2,random,140201,0.9175380056694613,-7.566039684876367,112.1270577988576,0.7516259098453386,0.2558870991601589,4000,False,True,False,False,True
0.01,4.5,2,3,random,140202,1.041492042797354,-7.566039684876367,113.76535263063946,0.7515499628768395,0.25905447267382853,4000,False,True,False,False,True
0.01,4.75,3,0,warm,,1.5273783749165057,-5.566039684876356,127.44102560149884,0.7624794696787047,0.25312000680620805,4000,False,True,False,True,True
0.01,4.75,3,1,random,140300,1.660503906368379,-5.566039684876356,129.83277160024892,0.7629624147411517,0.2521368498078602,4000,False,True,False,False,True
0.01,4.75,3,2,random,140301,5.331693638833834,-5.566039684876356,195.7897165792894,0.0066592124684695785,0.2554438752985186,4000,False,True,False,False,True
0.01,4.75,3,3,random,140302,2.8220521176938393,-5.566039684876356,150.70125758107181,0.7471729892781713,0.25964197514900844,4000,False,True,False,False,True
0.01,5.0,4,0,warm,,3.5559425907134754,-3.5660396848763805,199.71685412796367,0.7623566704451534,0.2530563530848432,4000,False,True,False,True,True
0.01,5.0,4,1,random,140400,5.892328832995061,-3.5660396848763805,265.2345277587488,0.009414121444046417,0.23882052085975802,4000,False,True,False,False,True
0.01,5.0,4,2,random,140401,5.75473163381461,-3.5660396848763805,261.3759840705223,0.006754684643263339,0.2592037171037733,4000,False,True,False,False,True
0.01,5.0,4,3,random,140402,4.428699252193072,-3.5660396848763805,224.19096935390934,0.751241484063555,0.26728972947728297,4000,False,True,False,False,True
0.01,5.25,5,0,warm,,5.5838225827258166,-1.5660396848763014,456.5569018876347,0.7600503111365449,0.25347004305562315,4000,False,True,False,True,True
0.01,5.25,5,1,random,140500,6.412772356839377,-1.5660396848763014,509.4897733926781,0.005981477546921287,0.22350502264559605,4000,False,True,False,False,True
0.01,5.25,5,2,random,140501,6.105896686877405,-1.5660396848763014,489.8941224698082,0.008471340425867498,0.22315103704135514,4000,False,True,False,False,True
0.01,5.25,5,3,random,140502,5.875874744791625,-1.5660396848763014,475.20599264096876,0.00718487815796397,0.24085614194080868,4000,False,True,False,False,True
0.01,5.5,6,0,warm,,6.37701732324852,0.43396031512367017,1369.4932004165394,0.006204081662698098,0.2720110505063841,4000,False,True,False,False,False
0.01,5.5,6,1,random,140600,6.473998634224313,0.43396031512367017,1391.8411680983666,0.008622429193435418,0.23905611640859908,4000,False,True,False,False,False
0.01,5.5,6,2,random,140601,6.211467670989399,0.43396031512367017,1331.3446309530061,0.006954879753877621,0.2568141793785976,4000,False,True,False,False,False
0.01,5.5,6,3,random,140602,6.116678622153875,0.43396031512367017,1309.501838989757,0.00798554568191699,0.25652799331470394,4000,False,True,False,True,False
0.01,5.75,7,0,warm,,6.360489358519177,0.9999999999999851,536.0489358519272,0.7765192291990825,0.2564525360109263,4000,False,True,False,False,False
0.01,5.75,7,1,random,140700,6.671639196933906,0.9999999999999851,567.1639196934005,0.776505336188589,0.27200670692498363,4000,False,True,False,False,False
0.01,5.75,7,2,random,140701,6.904071789826528,0.9999999999999851,590.407178982663,0.7765228695490483,0.2544976757018324,4000,False,True,False,False,False
