p,K,K_index,run_tag,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.0,6.75,11,dense8,0,90011,1.0000004979026065,0.9999999999999972,4.97902609142288e-05,,,1724,True,False,False,False,462.0563297271729
0.0,6.75,11,dense8,1,90011,1.0038280930859913,0.9999999999999972,0.3828093085993977,,,2000,False,True,False,False,462.0563297271729
0.0,6.75,11,dense8,2,90011,1.0000002043569518,0.9999999999999972,2.0435695446963163e-05,0.9999999946996864,-4.1069578333817553e-16,772,True,False,False,True,462.0563297271729
0.0,6.75,11,dense8,3,90011,1.0009434531363124,0.9999999999999972,0.0943453136315055,,,2000,False,True,False,False,462.0563297271729
0.0,6.75,11,dense8,4,90011,1.0008027785316012,0.9999999999999972,0.0802778531603822,,,2000,False,True,False,False,462.0563297271729
0.0,6.75,11,dense8,5,90011,1.0013806823346871,0.9999999999999972,0.1380682334689801,,,2000,False,True,False,False,462.0563297271729
0.0,6.75,11,dense8,6,90011,1.002444494419744,0.9999999999999972,0.2444494419746596,,,2000,False,True,False,False,462.0563297271729
0.0,6.75,11,dense8,7,90011,1.0000017204282026,0.9999999999999972,0.0001720428205231,,,1984,True,False,False,False,462.0563297271729
0.0,7.0,12,dense8,0,90012,1.00159759095961,0.9999999999999978,0.1597590959612208,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,1,90012,1.000032037800623,0.9999999999999978,0.0032037800625328,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,2,90012,1.0043310805809087,0.9999999999999978,0.4331080580910927,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,3,90012,1.0016730734425807,0.9999999999999978,0.1673073442582943,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,4,90012,1.0011196946600234,0.9999999999999978,0.1119694660025596,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,5,90012,1.0000373817264157,0.9999999999999978,0.0037381726417873,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,6,90012,1.0005022976915026,0.9999999999999978,0.0502297691504783,,,2000,False,True,False,False,475.2100155353546
0.0,7.0,12,dense8,7,90012,1.000000204316454,0.9999999999999978,2.0431645619822847e-05,0.9999999932468586,-4.471249759330227e-16,1004,True,False,False,True,475.2100155353546
