N,ansatz,grad_var_mean,grad_var_std,reference_paper_value
2,GI,24.15400184457605,18.23289752172041,23.0
2,HW,10.473757312891655,7.379895650015205,
3,GI,23.018353608380444,10.268000161838595,20.4
3,HW,5.350633130963386,3.4945998081444656,
4,GI,21.193604051141527,8.244082051819769,19.3
4,HW,2.4139711344092216,1.145034992976404,
