p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.0,6.75,11,down,3,random,150102,1.0001889916329532,0.9999999999999973,0.018899163295582663,0.9999922344291846,-1.6176296413483726e-16,4000,False,True,False,False,True
0.0,6.5,10,down,0,warm,,1.000000120605257,1.0000000000000053,1.2060525156343196e-05,0.999999995861775,-8.933825900392016e-17,201,True,False,False,True,True
0.0,6.5,10,down,1,random,150200,1.00000619462769,1.0000000000000053,0.0006194627684585864,0.9999997738639379,-7.15573452865588e-16,893,True,False,False,False,True
0.0,6.5,10,down,2,random,150201,1.0028642756099724,1.0000000000000053,0.28642756099670336,0.9998839867555314,-8.383048021284374e-16,4000,False,True,False,False,True
0.0,6.5,10,down,3,random,150202,1.0000027125017383,1.0000000000000053,0.00027125017330042876,0.9999998797310202,3.478120580707236e-16,1414,True,False,False,False,True
0.0,6.25,9,down,0,warm,,1.0000000956691957,1.0000000000000142,9.56691814657504e-06,0.9999999963898342,1.9168694406837595e-16,193,True,False,False,True,True
0.0,6.25,9,down,1,random,150300,1.0000039018336477,1.0000000000000142,0.0003901833633523866,0.9999997540040453,-1.0646865305890322e-15,2436,True,False,False,False,True
0.0,6.25,9,down,2,random,150301,1.0000179116110037,1.0000000000000142,0.001791161098951807,0.9999990720435147,-8.161873689773085e-16,4000,False,True,False,False,True
0.0,6.25,9,down,3,random,150302,1.0002931704725917,1.0000000000000142,0.029317047257748224,0.9999757949451861,-3.642924361896646e-16,4000,False,True,False,False,True
0.0,6.0,8,down,0,warm,,1.0000000699280296,0.9999999999999949,6.992803469607658e-06,0.9999999964719266,1.249000903139509e-16,186,True,False,False,True,True
0.0,6.0,8,down,1,random,150400,1.0000014578893504,0.9999999999999949,0.00014578893554606582,0.9999999316603152,-1.833169029929771e-15,2624,True,False,False,False,True
0.0,6.0,8,down,2,random,150401,1.000000677016184,0.9999999999999949,6.770161891100947e-05,0.999999962954561,-4.2760933576845774e-16,2194,True,False,False,False,True
0.0,6.0,8,down,3,random,150402,1.0000237524353721,0.9999999999999949,0.002375243537722239,0.99999926106272,3.1658711377510595e-16,4000,False,True,False,False,True
0.0,5.75,7,down,0,warm,,1.0000000522596366,0.9999999999999998,5.2259636840190654e-06,0.999999996712124,2.9490299093221303e-16,188,True,False,False,True,True
0.0,5.75,7,down,1,random,150500,1.0005918114920371,0.9999999999999998,0.05918114920373531,0.9999489370478991,3.6602650122987364e-16,4000,False,True,False,False,True
0.0,5.75,7,down,2,random,150501,1.0000026987526742,0.9999999999999998,0.00026987526744459705,0.999999379917355,-9.367503875142575e-17,4000,False,True,False,False,True
