p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-12.0,4,3,60,1,20043,-272.99623827556667,-286.9999999999998,4.879359485865197,2000,False,True,False,False,498.4258635044098
0.005,-12.0,4,3,60,2,20043,-271.2116291449673,-286.9999999999998,5.50117451394861,2000,False,True,False,False,498.4258635044098
0.005,-12.0,4,3,60,3,20043,-272.64812832868495,-286.9999999999998,5.000652150283915,2000,False,True,False,False,498.4258635044098
0.005,-12.0,4,3,60,4,20043,-270.6777162712265,-286.9999999999998,5.6872068741370425,2000,False,True,False,False,498.4258635044098
0.005,-12.0,4,3,60,5,20043,-273.2171684617461,-286.9999999999998,4.80238032691766,2000,False,True,False,False,498.4258635044098
0.005,-12.0,4,3,60,6,20043,-273.21753859760014,-286.9999999999998,4.80225135972113,2000,False,True,False,False,498.4258635044098
0.005,-12.0,4,3,60,7,20043,-273.0163760214405,-286.9999999999998,4.872342849672217,2000,False,True,False,False,498.4258635044098
0.005,-11.0,5,3,60,0,20053,-250.45268665905607,-262.9999999999997,4.770841574503293,2000,False,True,False,False,500.50738501548767
0.005,-11.0,5,3,60,1,20053,-251.6193577386343,-262.9999999999997,4.327240403560997,2000,False,True,False,True,500.50738501548767
0.005,-11.0,5,3,60,2,20053,-250.4594291664879,-262.9999999999997,4.7682778834645765,2000,False,True,False,False,500.50738501548767
0.005,-11.0,5,3,60,3,20053,-249.77973007613193,-262.9999999999997,5.026718602231104,2000,False,True,False,False,500.50738501548767
0.005,-11.0,5,3,60,4,20053,-250.4594825867012,-262.9999999999997,4.7682575715964,2000,False,True,False,False,500.50738501548767
0.005,-11.0,5,3,60,5,20053,-249.6107822334639,-262.9999999999997,5.09095732567902,2000,False,True,False,False,500.50738501548767
0.005,-11.0,5,3,60,6,20053,-251.6073701587181,-262.9999999999997,4.331798418738257,2000,False,True,False,False,500.50738501548767
0.005,-11.0,5,3,60,7,20053,-250.52329273896302,-262.9999999999997,4.743995156287721,2000,False,True,False,False,500.50738501548767
0.005,-13.0,3,3,60,0,20033,-294.32513301723503,-311.0,5.361693563590022,2000,False,True,False,False,501.3105239868164
0.005,-13.0,3,3,60,1,20033,-296.32411561479796,-311.0,4.718933885917054,2000,False,True,False,False,501.3105239868164
0.005,-13.0,3,3,60,2,20033,-297.30732867313696,-311.0,4.402788207994545,2000,False,True,False,True,501.3105239868164
0.005,-13.0,3,3,60,3,20033,-295.9713033567001,-311.0,4.832378341897072,2000,False,True,False,False,501.3105239868164
0.005,-13.0,3,3,60,4,20033,-294.35763235041276,-311.0,5.351243617230625,2000,False,True,False,False,501.3105239868164
0.005,-13.0,3,3,60,5,20033,-295.4680805308162,-311.0,4.9941863244963915,2000,False,True,False,False,501.3105239868164
0.005,-13.0,3,3,60,6,20033,-296.78679176343917,-311.0,4.570163420116023,2000,False,True,False,False,501.3105239868164
0.005,-13.0,3,3,60,7,20033,-297.2196114102262,-311.0,4.430993115682892,2000,False,True,False,False,501.3105239868164
0.005,-9.0,7,1,20,0,20071,-210.78813763162483,-214.99999999999991,1.9590057527325961,2000,False,True,False,False,385.99230122566223
0.005,-9.0,7,1,20,1,20071,-210.80678580137698,-214.99999999999991,1.9503321854060192,2000,False,True,False,False,385.99230122566223
0.005,-9.0,7,1,20,2,20071,-210.24698402931563,-214.99999999999991,2.210705102643856,2000,False,True,False,False,385.99230122566223
0.005,-9.0,7,1,20,3,20071,-210.8108283556618,-214.99999999999991,1.9484519275991183,2000,False,True,False,False,385.99230122566223
0.005,-9.0,7,1,20,4,20071,-210.71882264990154,-214.99999999999991,1.991245279115524,2000,False,True,False,False,385.99230122566223
0.005,-9.0,7,1,20,5,20071,-210.8081593485366,-214.99999999999991,1.949693326262005,2000,False,True,False,False,385.99230122566223
0.005,-9.0,7,1,20,6,20071,-211.00152860828686,-214.99999999999991,1.8597541356804907,2000,False,True,False,True,385.99230122566223
0.005,-9.0,7,1,20,7,20071,-210.99785692922043,-214.99999999999991,1.8614618933858063,2000,False,True,False,False,385.99230122566223
0.005,-8.0,8,1,20,0,20081,-187.3718502936677,-190.9999999999999,1.8995548200692058,2000,False,True,False,False,396.90340304374695
0.005,-8.0,8,1,20,1,20081,-187.1912927938393,-190.9999999999999,1.9940875424924571,2000,False,True,False,False,396.90340304374695
0.005,-8.0,8,1,20,2,20081,-187.3051099493346,-190.9999999999999,1.9344974087252855,2000,False,True,False,False,396.90340304374695
0.005,-8.0,8,1,20,3,20081,-187.1866315575218,-190.9999999999999,1.9965279803550242,2000,False,True,False,False,396.90340304374695
0.005,-8.0,8,1,20,4,20081,-186.676788061158,-190.9999999999999,2.2634617480847625,2000,False,True,False,False,396.90340304374695
0.005,-8.0,8,1,20,5,20081,-187.61251271518503,-190.9999999999999,1.7735535522590864,2000,False,True,False,True,396.90340304374695
0.005,-8.0,8,1,20,6,20081,-186.9730604127558,-190.9999999999999,2.1083453336356412,2000,False,True,False,False,396.90340304374695
0.005,-8.0,8,1,20,7,20081,-186.4355463891378,-190.9999999999999,2.3897662884094646,2000,False,True,False,False,396.90340304374695
0.005,-7.0,9,1,20,0,20091,-163.83248678540943,-167.00000000000009,1.8967144997548826,2000,False,True,False,True,380.03768134117126
0.005,-7.0,9,1,20,1,20091,-163.43158541498616,-167.00000000000009,2.13677520060714,2000,False,True,False,False,380.03768134117126
0.005,-7.0,9,1,20,2,20091,-163.83199767475904,-167.00000000000009,1.89700738038386,2000,False,True,False,False,380.03768134117126
0.005,-7.0,9,1,20,3,20091,-163.82797271976892,-167.00000000000009,1.8994175330725516,2000,False,True,False,False,380.03768134117126
0.005,-7.0,9,1,20,4,20091,-163.61532248742924,-167.00000000000009,2.026753001539428,2000,False,True,False,False,380.03768134117126
0.005,-7.0,9,1,20,5,20091,-163.26982737297143,-167.00000000000009,2.2336363036099693,2000,False,True,False,False,380.03768134117126
0.005,-7.0,9,1,20,6,20091,-163.46726696461158,-167.00000000000009,2.1154090032266475,2000,False,True,False,False,380.03768134117126
0.005,-7.0,9,1,20,7,20091,-163.709602622237,-167.00000000000009,1.9702978309958499,2000,False,True,False,False,380.03768134117126
0.005,-9.0,7,2,40,0,20072,-206.6771708426702,-214.99999999999991,3.8710833289905695,2000,False,True,False,False,438.4000027179718
0.005,-9.0,7,2,40,1,20072,-205.93083168938912,-214.99999999999991,4.218217818888742,2000,False,True,False,False,438.4000027179718
0.005,-9.0,7,2,40,2,20072,-209.3182515251278,-214.99999999999991,2.642673709242842,2000,False,True,False,False,438.4000027179718
0.005,-9.0,7,2,40,3,20072,-209.32813838313564,-214.99999999999991,2.6380751706345484,2000,False,True,False,False,438.4000027179718
0.005,-9.0,7,2,40,4,20072,-207.2809996264606,-214.99999999999991,3.590232731878747,2000,False,True,False,False,438.4000027179718
0.005,-9.0,7,2,40,5,20072,-206.92421674505587,-214.99999999999991,3.7561782581135095,2000,False,True,False,False,438.4000027179718
0.005,-9.0,7,2,40,6,20072,-209.32873012176103,-214.99999999999991,2.637799943366926,2000,False,True,False,True,438.4000027179718
0.005,-9.0,7,2,40,7,20072,-205.9870399992553,-214.99999999999991,4.192074418950984,2000,False,True,False,False,438.4000027179718
0.005,-6.0,10,1,20,0,20101,-140.13521258696417,-143.00000000000028,2.0033478412839902,2000,False,True,False,False,385.76842308044434
0.005,-6.0,10,1,20,1,20101,-140.32060641411195,-143.00000000000028,1.873701808313517,2000,False,True,False,False,385.76842308044434
0.005,-6.0,10,1,20,2,20101,-140.2533500128638,-143.00000000000028,1.9207342567388024,2000,False,True,False,False,385.76842308044434
0.005,-6.0,10,1,20,3,20101,-140.31551103966797,-143.00000000000028,1.8772650072253927,2000,False,True,False,False,385.76842308044434
0.005,-6.0,10,1,20,4,20101,-140.5782039616451,-143.00000000000028,1.6935636631854392,2000,False,True,False,True,385.76842308044434
0.005,-6.0,10,1,20,5,20101,-140.3445878741898,-143.00000000000028,1.8569315565108153,2000,False,True,False,False,385.76842308044434
0.005,-6.0,10,1,20,6,20101,-139.83028878963765,-143.00000000000028,2.2165812659878523,2000,False,True,False,False,385.76842308044434
0.005,-6.0,10,1,20,7,20101,-140.18607790837078,-143.00000000000028,1.967777686454197,2000,False,True,False,False,385.76842308044434
0.005,-5.0,11,1,20,0,20111,-119.88879963859107,-123.56603968487643,2.9759309723474363,2000,False,True,False,False,390.06501817703247
0.005,-5.0,11,1,20,1,20111,-116.75742332555868,-123.56603968487643,5.510103242510148,2000,False,True,False,False,390.06501817703247
0.005,-5.0,11,1,20,2,20111,-117.38733346502539,-123.56603968487643,5.00032714134745,2000,False,True,False,False,390.06501817703247
0.005,-5.0,11,1,20,3,20111,-116.85094710394802,-123.56603968487643,5.434415959314986,2000,False,True,False,False,390.06501817703247
0.005,-5.0,11,1,20,4,20111,-116.83359502086579,-123.56603968487643,5.448458719871593,2000,False,True,False,False,390.06501817703247
0.005,-5.0,11,1,20,5,20111,-116.8002675481073,-123.56603968487643,5.475430105248578,2000,False,True,False,False,390.06501817703247
0.005,-5.0,11,1,20,6,20111,-119.9783198471014,-123.56603968487643,2.903483713587154,2000,False,True,False,True,390.06501817703247
0.005,-5.0,11,1,20,7,20111,-116.5578143272677,-123.56603968487643,5.671643580616008,2000,False,True,False,False,390.06501817703247
0.005,-8.0,8,2,40,0,20082,-184.49707846066173,-190.9999999999999,3.404670963004275,2000,False,True,False,False,446.6879515647888
