p,K,K_label,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,cell_time_s
0.0,2.5,noisy-matched-2.5,0,50004,-28.675960466263447,-28.918119696780735,0.8373961829345562,,,2000,False,True,False,582.8677403926849
0.0,2.5,noisy-matched-2.5,1,50004,-28.16655281662127,-28.918119696780735,2.5989479538779716,,,2000,False,True,False,582.8677403926849
0.0,2.5,noisy-matched-2.5,2,50004,-28.39670730183808,-28.918119696780735,1.8030646543063438,,,2000,False,True,False,582.8677403926849
0.0,2.5,noisy-matched-2.5,3,50004,-28.854884780978118,-28.918119696780735,0.21866883623715286,0.9587965053308514,-2.466133670243108e-16,2000,False,True,False,582.8677403926849
0.0,3.2,half-boundary,0,50001,-23.049523496598656,-23.318119696780542,1.1518776113794889,,,2000,False,True,False,583.6181197166443
0.0,3.2,half-boundary,1,50001,-23.10982034400859,-23.318119696780542,0.8932939511444036,,,2000,False,True,False,583.6181197166443
0.0,3.2,half-boundary,2,50001,-23.21123854197394,-23.318119696780542,0.45836094932370386,0.9951910340367476,1.5355151263142253e-17,2000,False,True,False,583.6181197166443
0.0,3.2,half-boundary,3,50001,-23.1870296259345,-23.318119696780542,0.5621811387482563,,,2000,False,True,False,583.6181197166443
0.0,1.25,noisy-matched-1.25,0,50003,-48.52009145650563,-48.57642465813777,0.11596819244847033,,,2000,False,True,False,584.1283371448517
0.0,1.25,noisy-matched-1.25,1,50003,-48.05035082814815,-48.57642465813777,1.082981783224941,,,2000,False,True,False,584.1283371448517
0.0,1.25,noisy-matched-1.25,2,50003,-48.553314257535824,-48.57642465813777,0.04757534290468208,0.999255711966216,-3.2866597275847053e-16,2000,False,True,False,584.1283371448517
0.0,1.25,noisy-matched-1.25,3,50003,-48.205264709578096,-48.57642465813777,0.7640742421282616,,,2000,False,True,False,584.1283371448517
0.0,6.4,boundary,0,50002,2.181277945335281,2.0,9.063897266764043,,,2000,False,True,False,587.5847804546356
0.0,6.4,boundary,1,50002,2.1495101140428936,2.0,7.47550570214468,,,2000,False,True,False,587.5847804546356
0.0,6.4,boundary,2,50002,2.0283406451146795,2.0,1.4170322557339743,0.9970948464354015,-3.5486887551778955e-16,2000,False,True,False,587.5847804546356
0.0,6.4,boundary,3,50002,2.287229032585512,2.0,14.361451629275601,,,2000,False,True,False,587.5847804546356
0.0,0.0,K=0,0,50000,-66.81909421055033,-68.57642465813775,2.5625868603502413,,,2000,False,True,False,587.8976776599884
0.0,0.0,K=0,1,50000,-66.98911065372744,-68.57642465813775,2.3146642775899737,,,2000,False,True,False,587.8976776599884
0.0,0.0,K=0,2,50000,-68.32742886445784,-68.57642465813775,0.363092411016156,,,2000,False,True,False,587.8976776599884
0.0,0.0,K=0,3,50000,-68.52141972813664,-68.57642465813775,0.08020967887335156,0.9982989599392073,1.9371571636047945e-16,2000,False,True,False,587.8976776599884
